Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
        5715000	       566	00101054	078da023	sw	x24,96(x27)	 x27:0x00100100 x24:0x00000002 PA:0x00100160 store:0x00000002
        5735000	       568	00101058	079da223	sw	x25,100(x27)	 x27:0x00100100 x25:0x00000000 PA:0x00100164 store:0x00000000
        5755000	       570	0010105c	07ada423	sw	x26,104(x27)	 x27:0x00100100 x26:0xffffffff PA:0x00100168 store:0xffffffff
        5775000	       572	00101060	07bda623	sw	x27,108(x27)	 x27:0x00100100 x27:0x00100100 PA:0x0010016c store:0x00100100
        5795000	       574	00101064	07cda823	sw	x28,112(x27)	 x27:0x00100100 x28:0x00000001 PA:0x00100170 store:0x00000001
        5815000	       576	00101068	07ddaa23	sw	x29,116(x27)	 x27:0x00100100 x29:0x00000008 PA:0x00100174 store:0x00000008
        5835000	       578	0010106c	07edac23	sw	x30,120(x27)	 x27:0x00100100 x30:0x0010bc08 PA:0x00100178 store:0x0010bc08
        5855000	       580	00101070	07fdae23	sw	x31,124(x27)	 x27:0x00100100 x31:0x0010bc84 PA:0x0010017c store:0x0010bc84
        5865000	       581	00101074	fffff717	auipc	x14,0xfffff	 x14=0x00100074
        5875000	       582	00101078	3fc70713	addi	x14,x14,1020	 x14:0x00100074 x14=0x00100470
        5895000	       584	0010107c	00070067	jalr	x0,0(x14)	 x14:0x00100470  x0=0x00000000
        5905000	       585	00100470	fff20f17	auipc	x30,0xfff20	 x30=0x00020470
